===============================================
17/10/2014 21:37:58 By:test100
===============================================
 742 ,LS_ORDER_ID:RIO10VISADCH1420098 ,|---->dosen't exist 
 745 ,LS_ORDER_ID:RIO10CMCH1418826R9 ,|---->dosen't exist 
 749 ,LS_ORDER_ID:INO4343373 ,|---->dosen't exist 
 752 ,LS_ORDER_ID:INO4343432 ,|---->dosen't exist 
 754 ,LS_ORDER_ID:INO4343431 ,|---->dosen't exist 
 755 ,LS_ORDER_ID:INO4343433 ,|---->dosen't exist 
 756 ,LS_ORDER_ID:INO4343344 ,|---->dosen't exist 
 758 ,LS_ORDER_ID:INO4343399 ,|---->dosen't exist 
 761 ,LS_ORDER_ID:RIO10VISADCH1420243 ,|---->dosen't exist 
 762 ,LS_ORDER_ID:RIO10CBLCCH1420210 ,|---->dosen't exist 
 763 ,LS_ORDER_ID:RIO10VISADCH1420183 ,|---->dosen't exist 
 764 ,LS_ORDER_ID:RIO10CBLCCH1420082 ,|---->dosen't exist 
 766 ,LS_ORDER_ID:RIO10VISADCH1419984 ,|---->dosen't exist 
 767 ,LS_ORDER_ID:RIO10VISADCH1420216 ,|---->dosen't exist 
 776 ,LS_ORDER_ID:ROO1011414643R2 ,|---->dosen't exist 
 778 ,LS_ORDER_ID:SCO85DS645660 ,|---->dosen't exist 
 780 ,LS_ORDER_ID:ROO1011414643R13 ,|---->dosen't exist 
 782 ,LS_ORDER_ID:ACO39IL3046911 ,|---->dosen't exist 
 789 ,LS_ORDER_ID:ACO39IL3045591 ,|---->dosen't exist 
 792 ,LS_ORDER_ID:INO4342618 ,|---->dosen't exist 
 793 ,LS_ORDER_ID:MAO56229171R2 ,|---->dosen't exist 
 796 ,LS_ORDER_ID:ONO57741236R1 ,|---->dosen't exist 
 800 ,LS_ORDER_ID:ONO57742204 ,|---->dosen't exist 
 802 ,LS_ORDER_ID:ONO57742283 ,|---->dosen't exist 
 816 ,LS_ORDER_ID:ACO39IL3049411 ,|---->dosen't exist 
 824 ,LS_ORDER_ID:INO4341499 ,|---->dosen't exist 
 825 ,LS_ORDER_ID:INO4341483 ,|---->dosen't exist 
 832 ,LS_ORDER_ID:C-VISAD-1412642 ,|---->dosen't exist 
 833 ,LS_ORDER_ID:C-VISAD-1411856 ,|---->dosen't exist 
 834 ,LS_ORDER_ID:C-VISAD-1412952 ,|---->dosen't exist 
 835 ,LS_ORDER_ID:C-VISAD-1413085 ,|---->dosen't exist 
 836 ,LS_ORDER_ID:4388110 ,|---->dosen't exist 
 837 ,LS_ORDER_ID:CAN0043815 ,|---->dosen't exist 
 838 ,LS_ORDER_ID:C-VISAD-1413133 ,|---->dosen't exist 
 839 ,LS_ORDER_ID:C-VISAD-1413111 ,|---->dosen't exist 
 840 ,LS_ORDER_ID:4419612 ,|---->dosen't exist 
 841 ,LS_ORDER_ID:1448A ,|---->dosen't exist 
 842 ,LS_ORDER_ID:ACO39IL2988911 ,|---->dosen't exist 
 843 ,LS_ORDER_ID:ACO39IL2987682 ,|---->dosen't exist 
 844 ,LS_ORDER_ID:ACO39IL2987521 ,|---->dosen't exist 
 845 ,LS_ORDER_ID:ACO39IL2988121 ,|---->dosen't exist 
 846 ,LS_ORDER_ID:ACO39IL2988143 ,|---->dosen't exist 
 847 ,LS_ORDER_ID:ONO571250908R3 ,|---->dosen't exist 
 848 ,LS_ORDER_ID:ACO39IL2991022 ,|---->dosen't exist 
 849 ,LS_ORDER_ID:ACO39IL2990881 ,|---->dosen't exist 
 850 ,LS_ORDER_ID:ACO39IL2992481 ,|---->dosen't exist 
 851 ,LS_ORDER_ID:ACO39IL2994341 ,|---->dosen't exist 
 852 ,LS_ORDER_ID:ACO39IL2981021 ,|---->dosen't exist 
 853 ,LS_ORDER_ID:ONO57735842 ,|---->dosen't exist 
 854 ,LS_ORDER_ID:ONO57735799 ,|---->dosen't exist 
 855 ,LS_ORDER_ID:INO4338748 ,|---->dosen't exist 
 856 ,LS_ORDER_ID:INO4338775 ,|---->dosen't exist 
 857 ,LS_ORDER_ID:INO4338768 ,|---->dosen't exist 
 858 ,LS_ORDER_ID:C-VISAD-1415288 ,|---->dosen't exist 
 859 ,LS_ORDER_ID:C-VISAD-1415362 ,|---->dosen't exist 
 860 ,LS_ORDER_ID:C-VISAD-1415313 ,|---->dosen't exist 
 861 ,LS_ORDER_ID:C-VISAD-1409910 ,|---->dosen't exist 
 862 ,LS_ORDER_ID:C-VISAD-1412865 ,|---->dosen't exist 
 863 ,LS_ORDER_ID:C-VISAD-1410322 ,|---->dosen't exist 
 864 ,LS_ORDER_ID:C-VISAD-1415302 ,|---->dosen't exist 
 865 ,LS_ORDER_ID:C-RM-1413657 ,|---->dosen't exist 
 866 ,LS_ORDER_ID:C-VISAD-1414459 ,|---->dosen't exist 
 867 ,LS_ORDER_ID:C-VISAD-1414921 ,|---->dosen't exist 
 868 ,LS_ORDER_ID:C-VISAD-1415306 ,|---->dosen't exist 
 869 ,LS_ORDER_ID:C-VISAD-1415599 ,|---->dosen't exist 
 870 ,LS_ORDER_ID:C-VISAD-1414507 ,|---->dosen't exist 
 871 ,LS_ORDER_ID:C-RM-1415498 ,|---->dosen't exist 
 872 ,LS_ORDER_ID:620578 ,|---->dosen't exist 
 873 ,LS_ORDER_ID:4517139 ,|---->dosen't exist 
 874 ,LS_ORDER_ID:CAN0044128 ,|---->dosen't exist 
 875 ,LS_ORDER_ID:ACO39IL2862477LOS ,|---->dosen't exist 
 876 ,LS_ORDER_ID:C-VISAD-1414476 ,|---->dosen't exist 
 877 ,LS_ORDER_ID:C-VISAD-1412431 ,|---->dosen't exist 
 878 ,LS_ORDER_ID:C-VISAD-1415486 ,|---->dosen't exist 
 879 ,LS_ORDER_ID:C-VISAD-1413097 ,|---->dosen't exist 
 880 ,LS_ORDER_ID:C-VISAD-1415638 ,|---->dosen't exist 
 881 ,LS_ORDER_ID:C-VISAD-1413943 ,|---->dosen't exist 
 882 ,LS_ORDER_ID:C-VISAD-1413828 ,|---->dosen't exist 
 883 ,LS_ORDER_ID:C-VISAD-1413820 ,|---->dosen't exist 
 884 ,LS_ORDER_ID:C-VISAD-1414102 ,|---->dosen't exist 
 885 ,LS_ORDER_ID:C-VISAD-1414396 ,|---->dosen't exist 
 886 ,LS_ORDER_ID:C-VISAD-1412666 ,|---->dosen't exist 
 887 ,LS_ORDER_ID:C-VISAD-1414651 ,|---->dosen't exist 
 888 ,LS_ORDER_ID:ACO39IL2949711DEF ,|---->dosen't exist 
 889 ,LS_ORDER_ID:4469457 ,|---->dosen't exist 
 890 ,LS_ORDER_ID:C-VISAD-1414490 ,|---->dosen't exist 
 891 ,LS_ORDER_ID:C-RM-1407561 ,|---->dosen't exist 
 892 ,LS_ORDER_ID:C-VISAD-1415635 ,|---->dosen't exist 
 893 ,LS_ORDER_ID:SCO85DS644849 ,|---->dosen't exist 
 894 ,LS_ORDER_ID:SCO85DS644854 ,|---->dosen't exist 
 895 ,LS_ORDER_ID:CHM20140903R2 ,|---->dosen't exist 
 896 ,LS_ORDER_ID:CHM20140903R3 ,|---->dosen't exist 
 897 ,LS_ORDER_ID:CHM20140903R1 ,|---->dosen't exist 
 898 ,LS_ORDER_ID:BIO1138516R8 ,|---->dosen't exist 
 899 ,LS_ORDER_ID:INO4336673 ,|---->dosen't exist 
 900 ,LS_ORDER_ID:BIO1138943R6 ,|---->dosen't exist 
 901 ,LS_ORDER_ID:ACO39IL2958661 ,|---->dosen't exist 
 902 ,LS_ORDER_ID:ACO39IL2959801 ,|---->dosen't exist 
 903 ,LS_ORDER_ID:ACO39IL2961661 ,|---->dosen't exist 
 904 ,LS_ORDER_ID:ACO39IL2960121 ,|---->dosen't exist 
 905 ,LS_ORDER_ID:ACO39IL2963171 ,|---->dosen't exist 
 906 ,LS_ORDER_ID:ACO39IL2962411 ,|---->dosen't exist 
 907 ,LS_ORDER_ID:INO4337530 ,|---->dosen't exist 
 908 ,LS_ORDER_ID:ACO39IL2968621 ,|---->dosen't exist 
 909 ,LS_ORDER_ID:ACO39IL2968663 ,|---->dosen't exist 
 910 ,LS_ORDER_ID:ACO39IL2967232 ,|---->dosen't exist 
 911 ,LS_ORDER_ID:ONO57732650 ,|---->dosen't exist 
 912 ,LS_ORDER_ID:ACO39IL2994502 ,|---->dosen't exist 
 913 ,LS_ORDER_ID:ASO2908570624 ,|---->dosen't exist 
 914 ,LS_ORDER_ID:ONO57735521 ,|---->dosen't exist 
 915 ,LS_ORDER_ID:INO4339049 ,|---->dosen't exist 
 916 ,LS_ORDER_ID:INO4339294 ,|---->dosen't exist 
 917 ,LS_ORDER_ID:INO4339188 ,|---->dosen't exist 
 918 ,LS_ORDER_ID:INO4339121 ,|---->dosen't exist 
 919 ,LS_ORDER_ID:INO4339096 ,|---->dosen't exist 
 920 ,LS_ORDER_ID:ACO39IL2995681 ,|---->dosen't exist 
 921 ,LS_ORDER_ID:ACO39IL2996321 ,|---->dosen't exist 
 922 ,LS_ORDER_ID:ACO39IL2995603 ,|---->dosen't exist 
 923 ,LS_ORDER_ID:ACO39IL2997172 ,|---->dosen't exist 
 924 ,LS_ORDER_ID:ACO39IL2995311 ,|---->dosen't exist 
 925 ,LS_ORDER_ID:ACO39IL2996401 ,|---->dosen't exist 
 926 ,LS_ORDER_ID:ACO39IL2997013 ,|---->dosen't exist 
 927 ,LS_ORDER_ID:ACO39IL2996052 ,|---->dosen't exist 
 928 ,LS_ORDER_ID:ACO39IL2995031 ,|---->dosen't exist 
 929 ,LS_ORDER_ID:BIO1139572R3 ,|---->dosen't exist 
